UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
119,M17248,M,300.54,310.82,1442,62.24,116,1,0,0,1,0,0
120,L14369,L,299.9,309.92,1633,31.12,161,0,0,0,0,0,0
121,M73763,M,303.02,313.92,1533,16.72,131,1,0,0,1,0,0
122,M18050,M,297.37,308.13,1568,34.36,80,0,0,0,0,0,0
123,L38605,L,302.04,313.81,1707,36.5,129,0,0,0,0,0,0
124,L59616,L,301.64,311.93,1747,24.85,166,0,0,0,0,0,0
125,L64479,L,301.4,310.12,1465,41.4,254,0,0,0,0,0,0
126,L90934,L,302.23,312.57,1282,46.24,248,1,0,0,0,1,0
127,M50883,M,299.81,308.89,1501,40.64,181,0,0,0,0,0,0
128,M43055,M,296.26,307.38,1496,45.89,137,0,0,0,0,0,0
129,L78731,L,299.86,308.88,1586,35.37,41,0,0,0,0,0,0
130,L17450,L,298.02,307.73,1685,38.66,44,0,0,0,0,0,0
131,L12925,L,298.54,308.87,1190,26.49,100,1,0,0,1,0,0
132,L90051,L,297.52,309.76,1414,30.77,153,0,0,0,0,0,0
133,L60272,L,299.05,308.67,1362,38.49,26,0,0,0,0,0,0
134,L15310,L,298.81,309.52,1760,24.37,166,0,0,0,0,0,0
135,H41817,H,295.24,306.52,1497,38.32,152,0,0,0,0,0,0
136,L54528,L,301.4,313.58,1443,36.3,28,0,0,0,0,0,0
137,L65779,L,304.44,314.0,1632,31.12,109,0,0,0,0,0,0
138,M94816,M,301.21,313.01,1428,48.98,209,0,0,0,0,0,0
139,L92641,L,299.59,311.16,1532,38.18,21,0,0,0,0,0,0
140,H94083,H,299.89,309.38,1862,22.44,114,0,0,0,0,0,0
141,H86310,H,299.16,310.22,1857,26.21,89,0,0,0,0,0,0
142,L25457,L,300.18,311.73,1462,46.58,187,0,0,0,0,0,0
143,L52311,L,299.93,309.67,1502,40.05,89,0,0,0,0,0,0
144,L13980,L,298.32,308.44,1424,52.28,179,0,0,0,0,0,0
145,L30886,L,303.37,313.26,1188,58.42,84,0,0,0,0,0,0
146,L87112,L,297.03,308.5,1722,30.04,148,0,0,0,0,0,0
147,M60877,M,301.44,312.07,1971,39.5,105,0,0,0,0,0,0
148,L46181,L,299.8,310.18,1455,54.31,135,0,0,0,0,0,0
149,L43262,L,303.8,313.22,1388,22.85,116,1,0,0,1,0,0
150,L10947,L,300.68,311.31,1486,38.87,65,0,0,0,0,0,0
151,H10022,H,299.28,309.41,1550,31.88,237,1,1,0,0,0,0
152,L11128,L,299.5,310.45,1331,40.26,225,1,1,0,0,0,0
153,L89522,L,300.08,309.64,1452,31.4,203,0,0,0,0,0,0
154,L42322,L,297.71,308.59,1718,25.51,112,0,0,0,0,0,0
155,H58929,H,298.47,308.73,1558,45.06,17,0,0,0,0,0,0
156,L91696,L,296.43,305.88,1764,23.0,80,0,0,0,0,0,0
157,M19808,M,298.15,307.53,1601,36.63,142,0,0,0,0,0,0
158,M62882,M,300.19,309.71,1339,28.36,2,0,0,0,0,0,0
159,L31725,L,300.6,311.09,1431,52.73,84,0,0,0,0,0,0
160,M82534,M,296.04,306.86,1580,36.54,82,0,0,0,0,0,0
161,L49950,L,299.73,310.7,1333,50.99,58,0,0,0,0,0,0
162,M98954,M,301.13,312.13,1310,45.89,182,0,0,0,0,0,0
163,M93576,M,299.67,309.62,1320,40.65,121,0,0,0,0,0,0
164,L30557,L,298.73,310.49,1628,35.8,159,0,0,0,0,0,0
165,L31825,L,299.18,309.43,1469,53.7,10,0,0,0,0,0,0
166,M18998,M,298.92,310.07,1748,25.43,209,0,0,0,0,0,0
167,L46080,L,298.73,309.26,1374,15.13,180,1,0,0,1,0,0
168,L67797,L,300.35,311.42,1168,39.4,156,0,0,0,0,0,0
169,L25802,L,304.5,314.0,1511,26.45,66,0,0,0,0,0,0
170,L21167,L,298.51,309.61,1832,38.85,241,0,0,0,0,0,0
171,M52407,M,299.36,310.06,1541,35.54,131,0,0,0,0,0,0
172,L23338,L,299.9,311.41,1288,53.69,219,1,0,0,0,1,0
173,L86289,L,298.63,308.51,1243,46.48,136,0,0,0,0,0,0
174,L81520,L,302.2,311.13,1751,32.8,56,0,0,0,0,0,0
175,M28895,M,295.26,305.0,1390,42.92,165,0,0,0,0,0,0
176,L57910,L,298.94,310.71,1813,43.31,6,0,0,0,0,0,0
177,M75898,M,301.64,312.18,1653,36.28,192,0,0,0,0,0,0
178,L13454,L,299.41,310.2,1396,52.41,162,0,0,0,0,0,0
179,H96540,H,298.36,308.0,1745,41.41,174,0,0,0,0,0,0
180,L70797,L,300.88,311.65,1369,40.15,33,0,0,0,0,0,0
181,L93137,L,301.81,311.49,1274,44.13,62,0,0,0,0,0,0
182,L60637,L,300.42,310.25,1379,37.62,8,0,0,0,0,0,0
183,H15349,H,298.4,308.7,1673,45.22,89,0,0,0,0,0,0
184,M49963,M,300.91,312.06,1740,25.18,199,0,0,0,0,0,0
185,L85583,L,299.2,310.45,1464,32.07,18,0,0,0,0,0,0
186,M17750,M,301.49,312.77,1199,44.5,153,0,0,0,0,0,0
187,M32463,M,302.97,312.08,1255,32.56,173,0,0,0,0,0,0
188,L84935,L,295.0,305.69,1343,36.36,55,0,0,0,0,0,0
189,L68792,L,300.22,310.73,1302,56.5,9,0,0,0,0,0,0
190,L23686,L,296.53,305.7,1583,42.09,119,0,0,0,0,0,0
191,L73528,L,304.5,314.0,1884,27.21,170,0,0,0,0,0,0
192,M32787,M,299.06,309.51,1678,40.99,157,0,0,0,0,0,0
193,H24776,H,301.49,312.7,1332,65.41,39,1,0,0,1,0,0
194,M67427,M,299.93,310.71,1410,43.82,227,1,1,0,0,0,0
195,L71086,L,298.39,308.54,1445,53.73,182,0,0,0,0,0,0
196,L73308,L,298.16,309.78,1605,43.3,185,0,0,0,0,0,0
197,M25797,M,303.17,311.65,1818,29.2,30,0,0,0,0,0,0
198,M15302,M,301.91,312.55,1451,41.44,199,0,0,0,0,0,0
199,M73172,M,303.89,312.82,1812,35.78,233,0,0,0,0,0,0
200,M48059,M,300.11,309.9,1914,24.36,46,0,0,0,0,0,0
201,M10908,M,300.58,311.8,1472,13.53,204,1,0,0,1,0,0
202,L70252,L,299.47,308.89,1467,30.9,36,0,0,0,0,0,0
203,L90659,L,299.43,308.7,1470,17.95,221,1,0,0,1,0,0
204,M22877,M,297.92,311.0,1546,30.09,184,0,0,0,0,0,0
205,M24239,M,300.17,309.51,1471,22.33,78,1,0,0,1,0,0
206,L96971,L,298.42,310.77,1694,41.26,184,0,0,0,0,0,0
207,L37313,L,300.88,311.41,1256,32.13,98,0,0,0,0,0,0
208,M52103,M,300.34,310.52,1439,45.24,130,0,0,0,0,0,0
209,L58408,L,300.58,311.84,1594,42.83,156,0,0,0,0,0,0
210,L93251,L,303.35,314.0,1692,39.81,215,0,0,0,0,0,0
211,L98771,L,299.92,309.48,1930,15.82,44,1,0,0,1,0,0
212,M20534,M,301.51,311.7,1303,56.31,86,0,0,0,0,0,0
213,M53060,M,304.1,314.0,1418,44.66,72,0,0,0,0,0,0
214,L27189,L,302.61,313.6,1168,58.92,252,1,0,0,0,1,0
215,M96067,M,302.31,314.0,1335,62.54,1,0,0,0,0,0,0
216,L20967,L,299.39,310.6,1217,56.45,142,0,0,0,0,0,0
217,L91991,L,300.46,312.97,1441,28.0,223,1,1,0,0,0,0
218,M75563,M,297.36,308.24,1494,44.62,145,0,0,0,0,0,0
219,M18660,M,301.0,311.92,1620,22.08,246,0,0,0,0,0,0
220,M49823,M,300.55,311.57,1481,38.07,156,0,0,0,0,0,0
221,M65842,M,300.05,310.6,1620,30.93,39,0,0,0,0,0,0
222,L19616,L,302.05,313.6,1556,36.93,2,0,0,0,0,0,0
223,L85976,L,297.58,308.52,1349,26.44,224,1,1,0,0,0,0
224,L58738,L,303.27,314.0,1231,30.31,57,0,0,0,0,0,0
225,L23107,L,301.8,313.45,1640,31.01,70,0,0,0,0,0,0
226,L71404,L,299.86,310.99,1831,29.55,93,0,0,0,0,0,0
227,H25954,H,299.7,310.9,1991,25.71,218,0,0,0,0,0,0
228,L26943,L,300.96,310.65,1703,45.83,165,0,0,0,0,0,0
229,M50725,M,303.04,313.19,1797,35.25,156,0,0,0,0,0,0
230,M55434,M,300.2,311.75,1618,38.92,158,0,0,0,0,0,0
231,M95751,M,300.29,312.41,1589,32.6,125,0,0,0,0,0,0
232,L20110,L,300.04,308.8,1555,24.03,192,0,0,0,0,0,0
233,L97091,L,303.56,313.7,1516,37.76,104,0,0,0,0,0,0
234,L26462,L,299.26,309.99,1644,50.59,42,0,0,0,0,0,0
235,L89232,L,299.94,309.76,1441,41.98,154,0,0,0,0,0,0
236,M64081,M,302.93,312.8,1508,48.55,154,0,0,0,0,0,0
237,L62799,L,300.29,311.47,1323,56.73,117,0,0,0,0,0,0
238,L76567,L,302.27,314.0,1620,40.3,220,0,0,0,0,0,0
239,M99301,M,298.18,306.85,1362,44.37,68,1,0,1,0,0,0
240,L61224,L,299.59,310.12,1541,28.0,2,0,0,0,0,0,0
241,H66063,H,302.97,314.0,1625,33.42,156,0,0,0,0,0,0
242,H65240,H,298.65,310.13,1640,31.78,232,0,0,0,0,0,0
243,H91352,H,299.7,310.72,1674,37.05,102,0,0,0,0,0,0
244,L27868,L,300.51,312.97,1497,24.75,243,0,0,0,0,0,0
245,L85973,L,298.02,308.75,1622,30.57,140,0,0,0,0,0,0
246,H90989,H,299.17,311.18,1447,43.58,96,0,0,0,0,0,0
247,L32222,L,300.23,310.28,1180,40.02,59,0,0,0,0,0,0
248,H89794,H,300.09,310.85,1630,27.1,83,0,0,0,0,0,0
249,H73924,H,302.56,312.05,1589,28.93,66,0,0,0,0,0,0
250,M88513,M,303.08,314.0,1717,31.09,197,0,0,0,0,0,0
251,L64649,L,298.29,308.87,1530,15.16,106,1,0,0,1,0,0
252,L93749,L,300.22,311.28,1246,37.39,80,0,0,0,0,0,0
253,M20223,M,301.35,311.74,1519,46.72,122,0,0,0,0,0,0
254,L58166,L,303.03,314.0,1695,36.55,46,0,0,0,0,0,0
255,L49369,L,301.44,312.53,1621,39.07,195,0,0,0,0,0,0
256,L96379,L,300.58,310.29,1509,20.63,96,1,0,0,1,0,0
257,H79392,H,301.33,311.1,1236,41.57,160,0,0,0,0,0,0
258,M69526,M,301.35,312.02,1350,41.2,5,0,0,0,0,0,0
259,L22661,L,298.14,309.5,1621,39.45,117,0,0,0,0,0,0
260,L25591,L,300.39,312.95,1235,59.26,191,1,0,0,0,1,0
261,M81718,M,302.92,313.92,1478,48.03,232,1,1,0,0,0,0
262,H65235,H,299.59,311.29,1542,31.72,77,0,0,0,0,0,0
263,L17970,L,300.26,309.35,1742,28.27,237,1,1,0,0,0,0
264,L57922,L,299.51,312.23,1646,47.11,250,1,0,0,0,1,0
265,M40755,M,295.37,306.68,1708,30.52,198,0,0,0,0,0,0
266,M29416,M,300.04,310.69,1589,26.29,69,0,0,0,0,0,0
267,M23672,M,300.6,311.14,1383,39.29,178,0,0,0,0,0,0
268,M93468,M,298.98,308.57,1425,53.79,66,0,0,0,0,0,0
269,L56996,L,297.69,307.57,1367,32.43,100,0,0,0,0,0,0
270,L84095,L,298.24,310.85,1641,31.17,149,0,0,0,0,0,0
271,M10064,M,301.53,311.24,1410,31.86,229,0,0,0,0,0,0
272,M78835,M,303.95,313.64,1464,48.49,199,0,0,0,0,0,0
273,M80385,M,302.76,312.76,1539,39.91,23,0,0,0,0,0,0
274,H15639,H,297.31,306.81,1830,38.55,204,0,0,0,0,0,0
275,L21055,L,301.71,312.42,1653,48.21,204,0,0,0,0,0,0
276,L69220,L,298.67,310.46,1396,25.53,64,0,0,0,0,0,0
277,M97594,M,298.84,308.92,1562,29.71,242,0,0,0,0,0,0
278,M39427,M,299.08,308.4,1832,27.88,180,0,0,0,0,0,0
279,M92516,M,301.41,312.4,1646,35.41,127,0,0,0,0,0,0
280,M74666,M,301.92,312.56,1247,51.74,168,0,0,0,0,0,0
281,M74274,M,299.8,311.51,1370,36.68,99,0,0,0,0,0,0
282,L20866,L,299.84,310.08,1356,34.93,31,0,0,0,0,0,0
283,L13889,L,300.93,311.37,1794,39.57,68,0,0,0,0,0,0
284,L58226,L,301.14,311.69,1761,36.98,240,1,1,0,0,0,0
285,L41335,L,302.35,313.14,1422,43.46,70,0,0,0,0,0,0
286,L60547,L,297.43,307.74,1419,18.72,241,1,0,0,1,0,0
287,L36162,L,300.04,310.19,1543,48.33,44,0,0,0,0,0,0
288,L99449,L,297.86,306.71,1548,38.7,31,0,0,0,0,0,0
289,L34687,L,299.9,310.03,1362,40.37,27,0,0,0,0,0,0
290,L20995,L,299.55,310.96,1490,30.57,96,0,0,0,0,0,0
291,L66488,L,299.91,311.46,1273,37.88,237,0,0,0,0,0,0
292,L12631,L,298.4,308.63,1764,25.25,13,0,0,0,0,0,0
293,M44954,M,297.03,309.02,1218,23.55,140,1,0,0,1,0,0
294,L15967,L,295.81,306.48,1216,37.48,220,0,0,0,0,0,0
295,L98294,L,299.74,309.1,1613,21.32,177,0,0,0,0,0,0
296,L97278,L,299.14,308.19,1312,43.0,167,0,0,0,0,0,0
297,M74471,M,298.65,310.57,1445,28.25,128,0,0,0,0,0,0
298,L47116,L,302.65,312.97,1546,43.81,174,0,0,0,0,0,0
299,M44227,M,298.28,307.77,1657,20.2,112,0,0,0,0,0,0
300,L11942,L,302.83,311.27,1495,49.77,112,0,0,0,0,0,0
301,L57664,L,303.25,313.55,1855,37.34,218,0,0,0,0,0,0
302,L38069,L,296.1,307.2,1535,27.38,29,0,0,0,0,0,0
303,L97342,L,300.18,310.19,1749,31.98,33,0,0,0,0,0,0
304,M24407,M,299.2,308.85,1585,28.43,45,0,0,0,0,0,0
305,M69201,M,295.0,305.15,1919,34.18,0,0,0,0,0,0,0
306,H90093,H,297.11,309.05,1726,48.15,161,0,0,0,0,0,0
307,L64348,L,301.55,310.86,1543,48.1,186,0,0,0,0,0,0
308,L91981,L,304.04,314.0,1648,28.79,134,0,0,0,0,0,0
309,M27878,M,301.81,313.72,1488,39.61,192,0,0,0,0,0,0
310,L93100,L,300.65,311.84,1486,53.22,169,0,0,0,0,0,0
311,L88629,L,299.96,310.84,1300,49.84,209,0,0,0,0,0,0
312,L65420,L,303.37,313.42,1390,51.65,226,1,1,0,0,1,0
313,L53168,L,304.3,314.0,1906,34.96,241,0,0,0,0,0,0
314,H64862,H,298.83,308.99,1318,44.29,18,0,0,0,0,0,0
315,M99622,M,296.0,305.84,1417,39.73,140,0,0,0,0,0,0
316,M92025,M,295.8,305.42,1518,26.32,22,0,0,0,0,0,0
317,L38004,L,302.64,314.0,1524,30.4,65,0,0,0,0,0,0
318,L30471,L,299.91,310.55,1604,27.67,130,0,0,0,0,0,0
319,L70167,L,300.37,311.38,1451,36.03,85,0,0,0,0,0,0
320,L93828,L,296.42,307.27,1615,36.36,163,0,0,0,0,0,0
321,L75308,L,298.49,309.63,1741,32.03,176,0,0,0,0,0,0
322,M93969,M,299.41,309.85,1763,34.25,199,0,0,0,0,0,0
323,M24568,M,300.42,310.63,1487,44.93,86,0,0,0,0,0,0
324,L19466,L,299.2,309.09,1645,31.21,71,0,0,0,0,0,0
325,H67324,H,297.93,307.21,1329,51.08,184,0,0,0,0,0,0
326,M25467,M,298.43,308.01,1405,52.38,88,0,0,0,0,0,0
327,L85955,L,302.42,312.75,1324,47.78,226,1,1,0,0,0,0
328,M62948,M,300.49,309.59,1527,32.42,191,0,0,0,0,0,0
329,L26676,L,301.22,310.54,1380,51.33,110,0,0,0,0,0,0
330,L41514,L,298.2,309.94,1261,50.91,138,0,0,0,0,0,0
331,L32650,L,295.0,305.92,1466,45.14,40,0,0,0,0,0,0
332,M98290,M,298.95,309.2,1224,64.78,234,1,0,0,0,1,0
333,L87701,L,298.27,311.24,1774,38.03,5,0,0,0,0,0,0
334,L20683,L,300.7,309.75,1435,55.66,105,0,0,0,0,0,0
335,L69819,L,304.5,314.0,1712,32.22,233,1,1,0,0,0,0
336,L90978,L,301.39,311.98,1446,35.34,241,0,0,0,0,0,0
337,M14860,M,304.5,314.0,1320,55.88,44,0,0,0,0,0,0
338,M13729,M,301.14,311.95,1747,24.72,208,0,0,0,0,0,0
339,L41351,L,298.74,307.57,1551,54.38,227,1,1,0,0,1,0
340,L72744,L,300.7,311.49,1875,40.51,184,0,0,0,0,0,0
341,L34346,L,303.56,314.0,1451,40.35,81,0,0,0,0,0,0
342,L84155,L,303.66,312.17,1455,51.21,160,0,0,0,0,0,0
343,L86700,L,298.85,311.49,1716,38.92,188,0,0,0,0,0,0
344,L16955,L,300.51,311.52,1717,22.61,17,0,0,0,0,0,0
345,L75642,L,297.14,308.51,1563,29.18,6,0,0,0,0,0,0
346,M80290,M,301.65,311.18,2135,28.75,28,0,0,0,0,0,0
347,M54293,M,303.11,314.0,1484,40.14,196,0,0,0,0,0,0
348,L71336,L,300.08,311.87,1306,58.2,143,0,0,0,0,0,0
349,L31662,L,298.67,309.62,1355,45.49,222,1,1,0,0,0,0
350,M16408,M,300.72,311.41,1486,26.34,196,0,0,0,0,0,0
351,L50403,L,300.83,310.64,1808,27.36,73,0,0,0,0,0,0
352,M11225,M,300.16,310.65,1501,45.25,254,0,0,0,0,0,0
353,M22196,M,300.36,310.55,1817,17.17,156,1,0,0,1,0,0
354,L79786,L,299.65,310.92,1613,22.99,156,0,0,0,0,0,0
355,L25372,L,301.99,311.84,1730,30.03,15,0,0,0,0,0,0
356,M27279,M,301.47,312.74,1605,43.98,3,0,0,0,0,0,0
357,L64240,L,298.03,307.89,1603,33.8,64,0,0,0,0,0,0
358,L48187,L,297.98,308.42,1670,38.25,71,0,0,0,0,0,0
359,H58481,H,299.49,310.81,1433,40.03,219,0,0,0,0,0,0
360,L38475,L,301.47,311.47,1435,38.52,128,0,0,0,0,0,0
361,L54552,L,300.3,311.65,1598,30.0,249,0,0,0,0,0,0
362,M77969,M,298.71,309.97,1884,36.79,219,0,0,0,0,0,0
363,L86534,L,300.52,310.95,1258,31.27,130,0,0,0,0,0,0
364,L16858,L,299.34,311.2,1170,46.12,63,0,0,0,0,0,0
365,H84486,H,301.76,312.54,1488,49.55,241,0,0,0,0,0,0
366,L84474,L,300.67,312.47,1721,26.94,65,0,0,0,0,0,0
367,H35168,H,299.37,311.86,1544,22.67,88,0,0,0,0,0,0
368,H42099,H,300.46,310.92,1325,20.37,56,1,0,0,1,0,0
369,L81180,L,302.63,313.98,1549,43.14,100,0,0,0,0,0,0
370,L71455,L,298.86,308.92,1223,55.44,202,1,1,0,0,1,0
371,L64240,L,300.81,310.47,1648,31.77,109,0,0,0,0,0,0
372,L84796,L,299.86,310.36,1479,26.42,17,0,0,0,0,0,0
373,L64592,L,300.85,310.19,1520,36.31,105,0,0,0,0,0,0
374,M57458,M,298.69,308.45,1612,46.01,38,0,0,0,0,0,0
